廠商代號,廠商名稱,廠址,電話,傳真,登錄日期,登錄範圍,證書有效期限,版本
2XDY009,潤泰精密材料股份有限公司宜蘭冬山廠,26948宜蘭縣冬山鄉安平村6鄰大安路357號,03-9596989*120,03-9595551,098/09/18,"下列項目之生產、銷售：＊卜特蘭水泥 (散裝、袋裝)＊水硬性混合水泥＊預拌乾混水泥砂漿＊混凝土及水泥砂漿用水淬高爐爐碴粉",107/09/17,4
2XEY002,東石咸股份有限公司蘇澳總廠,宜蘭縣蘇澳鎮新城里新城一路120號,03-9905125#216,03-9903235,085/05/13,"下列項目之設計、生產：＊硫酸鉀＊鹽酸＊氯化鈣下列項目之銷售：＊碳酸鈉(純?)＊碳酸氫鈉(小蘇打)＊磷酸鈣類＊銨粉",106/09/08,9
2XHY001,杏輝藥品工業股份有限公司,宜蘭縣冬山鄉中山路84號,03-9581101轉1076,02-25642234,086/10/30,"下列項目之設計、生產：醫療用藥＊食品及功能性食品醫療器材(隱形眼鏡用清潔與保養用品)化妝品",107/09/22,10
3A0Y004,三洋全能股份有限公司泰山工廠,新北市泰山區貴鳳街35號2樓,02-29018251,02-29065136,083/06/20,"下列項目之生產：＊窗型冷氣機＊電冰箱＊分離式冷氣機＊電漿顯示器＊彩色電視機＊液晶顯示器",107/03/15,13
3A0Y007,台灣松下電器股份有限公司(電化事業社),新北市中和區員山路579號,02-22271327,02-22271179,084/06/05,"下列項目之設計、生產：＊電冰箱＊電動洗衣機＊電熱式衣物烘乾機",105/08/16,13
3A0Y010,順光股份有限公司,新北市土城區中央路3段81號,02-22696111,02-23756446,086/05/27,"下列項目之設計、開發、生產、服務：＊浴室用通風電扇＊通風電扇＊自動旋轉吊電扇＊斜流式風機＊離心式風機＊軸流式風機",107/06/03,8
3A0Y011,力霸工業科技股份有限公司,台北市士林區福國路6號2樓,02-28322200,02-28357379,086/06/16,"下列項目之設計、開發、生產、服務：＊飲水供應機＊貯備型電開水器＊純水機",107/09/22,10
3A0Y015,吉泉電子工業廠股份有限公司,新北市淡水區下圭柔山120-3號,02-26212075,02-26224813,088/08/06,"下列項目之生產：＊飲水供應機",106/12/16,7
3A0Y017,威技電器股份有限公司,新北市中和區新民街112號8樓之8、之9,02-22265381,02-22265539,089/03/23,"下列項目之生產、服務：＊除濕機＊空氣調節器",107/07/05,8
3A0Y018,慧聯電業股份有限公司,新北市三重區中正北路418號,02-29882696,02-29892913,089/08/03,"下列項目之生產：＊貯備型電熱水器＊貯備型電開水器＊飲水供應機",107/07/16,7
3A0Y020,泰陽電工股份有限公司,新北市土城區中央路1段365巷15號,02-22616437,02-22656434,090/04/09,"下列項目之設計、生產：＊空氣調節器",105/12/06,7
3A0Y022,台灣三洋電機股份有限公司工廠,新北市泰山區貴鳳街35號,02-29018251,02-29065136,089/08/22,"下列項目之設計、開發、生產、服務：＊洗衣機＊乾衣機",107/08/17,6
3A0Y024,台灣松下電器股份有限公司(空調製造事業處),新北市中和區員山路579號,02-22235121-2169,02-22271334,091/01/15,"下列項目之設計、開發、生產：＊窗型冷暖氣機＊分離式冷暖氣機＊除濕機下列項目之生產：＊電風扇",106/04/30,8
3A1Y002,大同股份有限公司三峽廠(電力事業群 馬達事業部 馬達廠),新北市三峽區溪東里溪東路352號,02-26736888 #254,02-26710715,082/12/14,"下列項目之設計、開發、生產、安裝、服務：＊發電機(10560KVA以下)下列項目之設計、開發、生產、服務：＊馬達(500HP以上(含))下列項目之生產：＊馬達(500HP以下)",106/12/30,11
3A1Y004,賀欣機械廠股份有限公司,新北市樹林區中正路632巷5號及三龍街24巷10、12、14號,02-26895501#153,02-26896600,085/07/23,"下列項目之設計、生產、服務：＊工業用縫紉機定位馬達＊工業用縫紉機離合器馬達＊工業用縫紉機伺服馬達＊真空幫浦＊鼓風機馬達",106/08/14,8
3A3Y010,裕光電業股份有限公司,新北市瑞芳區?魚坑路318號,02-24974136,02-24978838,085/05/20,"下列項目之生產：＊軟銅絞電線(無絕緣)＊600V橡膠絕緣輕便電纜＊硬銅絞電線(無絕緣)＊600V聚氯乙烯絕緣聚氯乙烯被覆電纜(VV)＊引出用橡膠絕緣電線＊熔接用電纜＊600V塑膠(聚氯乙烯)絕緣電線(IV)",106/05/13,8
3A3Y014,中華電線電纜股份有限公司,新北市新莊區新樹路290號,02-22021101-480,02-25922765,086/03/04,"下列項目之設計、生產、服務：＊鋁合金製窗＊鋁合金製門＊帷幕牆下列項目之生產：＊全鋁裸電線＊鋼心裸鋁電線＊耐熱鋁電線＊PVC 被覆絕緣鋁電線＊鋁擠型＊PVC 被覆鋁線＊聚氯乙烯絕緣電線＊PVC 絕緣鋁電線＊工業用鋁線＊PE絕緣鋁電線＊交連聚乙烯絕緣聚氯乙烯/聚乙烯被覆電力電纜[161KV(含)以下電力電纜]＊聚氯乙烯絕緣及被覆電纜(VV)◎新屋廠(桃園市新屋區中山東路二段362號)",107/06/25,9
3A4Y006,信太電機股份有限公司,新北市樹林區保安街3段51巷2號,02-26883666,02-26883669,085/04/08,"下列項目之設計、生產：＊變壓器(1KVA-500KVA,22KV)下列項目之生產：＊比壓器(50VA-500VA)＊比流器(10A-4000A)＊串聯電抗器(0.2KV-24KV)＊補償器(50KW-3000KW)＊啟動電抗器(50KW-3000KW)",106/08/01,8
3A4Y008,伸昌電機股份有限公司淡水廠,新北市淡水區義山里下圭柔山114之1號,02-26217650,02-26235967,088/03/22,"下列項目之設計、開發、生產、服務：＊單相亭置式變壓器＊三相亭置式變壓器＊單相桿上變壓器＊改良套管型桿上變壓器＊脈衝式直流電源供應器＊單相地下式變壓器＊樹脂型乾式變壓器＊配電用變壓器",106/04/29,7
3A6Y001,理研電器股份有限公司,新北市中和區錦和路59號,02-22225100,02-22226600,082/12/29,"下列項目之設計、生產、服務：＊電磁開關＊電磁接觸器＊液面控制器＊過載繼電器下列項目之服務：＊無熔線斷路器＊漏電斷路器下列項目之生產、服務：＊低壓控制配電盤",106/12/01,12
3A6Y006,華萬電機工業股份有限公司,新北市樹林區俊英街116巷17及19號,02-26833008,02-26811988,085/11/14,"下列項目之設計、生產、服務：＊線路保護器下列項目之生產、服務：＊無熔線斷路器",106/11/30,9
3A6Y018,華石電機工業股份有限公司,新北市鶯歌區八德路2巷14、16號,02-26783675,02-26780564,088/02/09,"下列項目之設計、開發、生產、服務：＊無熔線斷路器＊漏電斷路器",106/03/31,8
3A6Y019,伍菱電機股份有限公司林口廠,新北市林口區工二工業區工二路8號,02-26033339,02-26021998,088/06/16,"下列項目之設計、開發、生產：＊無熔線斷路器＊漏電斷路器下列項目之生產：＊自動切換開關",106/07/31,9
3E1Y003,聲寶股份有限公司土城廠,新北市土城區忠承路55號,02-22672101*1321,02-22672059,082/04/21,"下列項目之設計、開發、生產、服務：＊彩色電視機＊彩色監視器＊高畫質數位機上盒＊多媒體監視器＊電漿電視接收機＊多媒體液晶顯示器＊液晶電視接收機＊電漿多媒體顯示器",106/07/31,16
3E1Y005,台灣松下電器股份有限公司(視聽機器製造事業處),新北市中和區員山路579號,02-22235121#2443,02-22271179,082/09/11,"下列項目之設計、開發、生產、服務：＊錄放影機＊放影機＊彩色監視器＊彩色電視機＊數位影音光碟機＊電漿監視器＊數位影音光碟錄放影機＊液晶彩色監視器(含車用、民生用、業務用等)＊液晶彩色電視機(含車用、民生用、業務用等)＊電漿電視機",106/11/30,12
3E2Y002,東亞通信工業股份有限公司,新北市樹林區中正路753號,02-26893781,02-26893846,082/09/02,"下列項目之設計、開發、生產、服務：＊公用電話機＊電話機",106/11/30,10
3E2Y004,前程科技股份有限公司,臺北市南港區市民大道7段7號2樓,02-27922345,02-27928278,083/02/07,"下列項目之設計、開發、生產、服務：＊光碟自動拷貝系統＊數據機下列項目之生產、服務：＊機械式鍵盤",107/07/03,9
3E2Y006,冠宇國際電訊股份有限公司,新北市土城區自強街11巷4號4樓,02-32349898-761,02-82281199,083/08/04,"下列項目之設計、開發、生產、安裝、服務：＊衛星定位車機＊全數位式電子交換機",107/09/22,11
3E2Y013,圓陵工業股份有限公司,新北市新莊區民安路387巷32號一、二樓,02-22055791#112,02-22038052,085/03/09,"下列項目之設計、開發、生產：＊高頻同軸連接器＊光纖連接器下列項目之生產：＊線材組裝加工＊精密車床零件加工",106/06/16,8
3E2Y017,得洋電子工業股份有限公司,新北市瑞芳區頂坪路89號,02-24979801,02-24979805,085/09/30,"下列項目之設計、開發、生產：＊消防廣播系統＊前級擴大機＊後級擴大機＊電源供應器＊前後級擴大機＊天線分配器＊無線電麥克風＊無線電接收器＊無線電接收器介面卡＊無線電擴大機下列項目之生產：＊會議系統",106/11/29,9
3E2Y019,濟正股份有限公司中和廠,新北市中和區中山路2段327巷14號2樓,02-22458552,02-22493741,086/05/30,"下列項目之設計、生產：＊卡式錄放音機＊擴大機＊磁碟放音機＊調諧器＊音效處理器",107/06/10,8
3E2Y026,國洋通信股份有限公司,台北市南港路3段80巷42號3樓,02-7857758-313,02-27857923,088/02/19,"下列項目之設計、生產、服務：＊電話機",106/03/25,7
3E3Y015,祥正電機股份有限公司,新北市新店區寶橋路235巷11號4樓,02-29175865-368,02-29173946,089/05/10,"下列項目之設計、生產、服務：＊微處理型多功能電表＊智慧型電控設備下列項目之生產、服務：＊電子數位式電表＊類比信號隔離轉換傳送器",107/06/23,7
3E5Y013,承豐精密工業股份有限公司,新北市五股區五權八路28號,02-22994155-22,02-22994157,086/01/24,"下列項目之設計、生產：＊電腦產品用連接器＊電腦產品用腳座",107/03/29,8
3E5Y019,瑞芳電子股份有限公司,新北市瑞芳區三爪子坑路207號,02-24976302,02-24978797,094/07/07,"下列項目之生產、服務：＊電源轉接器＊連接器＊連接線下列項目之組裝、服務：＊LCD顯示器",106/07/31,6
3EAY021,台灣松下電器股份有限公司(LED多媒體事業處),新北市中和區員山路579號,02-22235121*2876,02-22271399,086/02/20,"下列項目之設計、開發、生產、安裝、服務：＊LED電子顯示器",107/08/30,9
3EAY029,瞻營全電子股份有限公司,新北市新莊區五工五路15號,(02)22980770,(02)22991883,103/08/26,"下列項目之生產、售後服務：＊工業級平板電腦＊精簡型電腦＊工業級單板電腦",106/08/25,0
3EBY004,功得電子工業股份有限公司,台北市北投區立德路120巷15號1-4F,02-28958895,02-28958880,085/01/15,"下列項目之設計、生產：＊保險絲組",106/06/05,8
3EMY002,福華電子股份有限公司三峽廠,新北市三峽區中正里16鄰中正路1段393號,02-26730411-235,02-26735889,082/07/05,"下列項目之設計、開發、生產、服務：＊液晶顯示器＊調諧器＊背光板＊遙控器＊開關＊發光二極體燈具＊滑鼠＊鍵盤＊發光二極體",106/08/20,11
3EMY004,昌達精密工業股份有限公司,新北市板橋區和平路14巷20之1、22、22之1、22之2、22之3號,02-29567680*502,02-29542753,082/10/07,"下列項目之生產：＊五金零件加工",106/11/30,12
3M4Y001,東光凡而工業股份有限公司,新北市淡水區民權路１之１號,02-28097655-301,02-28093495,081/07/03,"下列項目之設計、開發、生產：＊閘閥＊球型閥＊球塞閥＊逆止閥＊潔淨閥＊蝶閥＊可調壓式消防栓閥下列項目之生產：＊Y型過濾器＊管配件",105/08/11,13
3M4Y005,同協電子股份有限公司,新北市新莊區民安路429巷1號,02-22022241 #403,02-22020935,082/09/16,"下列項目之生產：＊電暖爐＊沖壓製品＊電剪髮器＊發光二極體燈＊電爐",106/09/26,13
3M4Y018,和成欣業股份有限公司二廠,新北市鶯歌區八德路1號,02-26792294,02-26793521,085/08/13,"下列項目之設計、開發、生產、服務：＊給水銅器下列項目之生產、服務：＊浴室用通風扇",106/10/06,11
3M4Y030,金亞金屬工業股份有限公司,新北市樹林區俊安街63號、65號,02-26895837#36,02-26894562,086/05/29,"下列項目之設計、開發、生產、安裝：＊鋼製門",107/04/15,10
3M4Y042,元山五金工業股份有限公司,新北市土城區中央路4段29號,02-22681768,02-22687676,087/10/23,"下列項目之生產：＊熔接鋼線網",106/02/15,7
3M4Y049,文菱科技股份有限公司,新北市泰山區南林路118號,02-29013085#t42,02-29013045,097/01/15,"下列項目之生產、設計、開發：＊鑽針",106/01/14,4
3M7Y008,永大抽水機企業有限公司汐止廠,新北市汐止區八連路1段94巷6號,02-26462222,02-26463232,086/01/30,"下列項目之生產：＊固定式消防用加壓離心泵(3.75KW-187.5KW)＊同軸泵(0.375KW-150KW)＊小型渦卷泵(3.75KW-150KW)＊工程用沉水泵＊深井用沉水電動機泵",107/06/04,8
3M8Y002,中國銲條機械股份有限公司安康廠,新北市新店區安康路3段527號,02-22152277#33,02-27034324,085/02/08,"下列項目之生產：＊高張力鋼用電焊條＊軟鋼用電焊條＊不?鋼用電焊條＊硬面用電焊條＊低合金鋼用電焊條＊鑄鐵用電焊條",106/06/05,8
3S1Y002,香港商信可股份有限公司台灣分公司,台北市民生東路3段49號3樓,02-25030101-135,02-25038855,086/01/15,"下列項目之服務：＊國際空海運貨物承攬＊報關＊物流服務◎新竹分公司(新竹科學工業園區工業東六路6號7樓)下列項目之服務：＊報關＊報關◎大園物流倉庫(桃園市大園區中山南路472號)下列項目之服務：＊物流服務",107/07/16,10
3S3Y007,台灣電力股份有限公司電力修護處,台北市南港區向陽路80號,02-27853199#150,02-27855675,088/07/02,"下列項目之設計、開發、生產、安裝：＊耙污機＊靜態激磁系統下列項目之生產：＊菱形定子線圈下列項目之檢修服務：＊汽輪機(包含主控制閥維修作業、銲接作業)＊發電機及零組件(包含扣環拆裝維修作業)＊水輪機(包含導翼、動輪維修作業)＊泵類＊安全閥＊斷路器＊電力變壓器＊整套型計器下列項目之服務：＊振動檢測＊振動計、加速規及速度規之校正＊發電機設備運搬＊非破壞檢測◎中部分處(彰化市金馬路2段643號)◎南部分處(高雄市三民區市中一路407號)",107/01/16,8
3S4Y006,台北市市政大樓公共事務管理中心,台北市信義區市府路1號12樓(北區),02-27258614,02-27234307,088/03/29,"下列項目之服務：＊市政大樓整體清潔維護管理＊市政大樓場地租借與停車場管理＊駐警勤務與大樓安全防護＊市政大樓機電,消防系統設備正常運作與維護保養管理",106/06/04,7
3S4Y016,台灣電力股份有限公司電力調度處,台北市羅斯福路3段242號25樓及26樓,02-23667690,02-23670583,089/12/26,"下列項目之服務：＊電力調度◎高雄中央調度中心(高雄市三民區十全二路320號3樓)",107/09/22,6
3S4Y020,台灣電力股份有限公司台北南區營業處,新北市板橋區四川路1段287號,02-29595111,02-29568608,091/11/25,"下列項目之服務：＊供售電服務",106/11/24,7
3S4Y024,台灣電力股份有限公司台北北區營業處,台北市中山北路5段380號,02-28821221轉206,02-28823519,093/01/16,"下列項目之服務：＊供售電服務",105/08/15,6
3S4Y026,台灣電力股份有限公司台北市區營業處,台北市基隆路4段75號,02-23773777,02-27325204,094/01/21,"下列項目之服務：＊供售電服務",106/01/20,5
3S4Y031,台灣電力股份有限公司供電處,台北市羅斯福路3段242號,02-23666578,02-23676840,101/09/04,"下列項目之服務：＊供電服務之規劃、督導、審查及改進分析",107/09/03,1
3S7Y001,台灣電力股份有限公司企劃處,台北市羅斯福路3段242號12樓,02-23666495,02-23682176,085/02/02,"下列項目之服務：＊ISO 9000品質系統稽核(台電公司內部)＊ISO 9000品質系統輔導(台電公司內部)",106/09/30,11
3S7Y006,台灣電力股份有限公司系統規劃處,台北市羅斯福路3段242號21樓,02-23666891,02-23676503,087/06/05,"下列項目之服務：＊69KV(含)以上大用戶供電規劃",105/08/15,7
3S7Y011,台灣電力股份有限公司訓練所,新北市新店區新烏路3段81號,02-26667216,02-26668213,088/05/17,"下列項目之設計、開發、服務：＊教育訓練",106/07/11,7
3S7Y013,台灣電力股份有限公司輸變電工程處,台北市牯嶺街73號,02-23229715,02-23224498,089/01/13,"下列項目之服務：＊輸變電工程之督導與考核",107/05/10,9
3S7Y039,臺北市政府捷運工程局,臺北市中山北路2段48巷7號,(02)25215550,(02)25210792,096/12/06,"下列項目之設計、開發：＊工程規劃＊設計管理下列項目之生產、安裝、服務：＊設計與工務管理下列項目之服務：＊技術諮詢◎捷運工程局北區工程處(臺北市大業路527巷86號3樓)◎捷運工程局東區工程處(臺北市經貿一路265號2樓)◎捷運工程局中區工程處(臺北市南京東路四段12之1號9樓)◎捷運工程局南區工程處(臺北市羅斯福路四段92號6樓)◎捷運工程局機電系統工程處(臺北市南京東路四段12之1號3樓)",105/08/15,4
3S9Y011,台灣電力股份有限公司綜合研究所,台北市羅斯福路4段198號,02-23601080,02-23649611,089/07/28,"下列項目之設計、開發、服務：＊電力科技研究計畫下列項目之服務：＊油、煤、氣體試驗＊化學檢驗＊電力科技技術服務＊高電壓試驗＊電力設備試驗＊電度表及變比器校修＊儀器校修",107/09/22,7
3SCY002,台灣電力股份有限公司(營建處),台北市羅斯福路3段242號16樓及17樓,02-22666934,02-23651630,092/04/24,"下列項目之設計與管理：＊發電有關工程(包括水力、離島火力、再生能源及開關場)及建築工程",107/04/29,5
3SSY004,台灣電力股份有限公司資訊系統處,台北市羅斯福路3段242號3、4樓,02-23666980,02-23651439,094/01/07,"下列項目之服務：資訊規劃，資訊系統之開發、維護、運作與管理，以及機房、網路、主機之維護、運作與管理。",106/01/06,4
3T8Y002,台灣不二實業股份有限公司淡水廠,新北市淡水區行忠路132號,02-25795055,02-25781517,088/10/14,"下列項目之生產(不含成型)：＊衛生套",106/12/07,7
3T8Y004,凌越生醫股份有限公司台北廠,台北市內湖區新明路143巷8號7樓,02-27962656,,100/09/28,"下列項目之設計、開發、生產：動物用免疫學及微生物體外診斷試劑機能性益生菌",106/09/27,1
3TAY012,惠新實業股份有限公司,新北市中和區立言街37號,02-22220167-116,02-22262977,086/02/24,"下列項目之設計、生產：＊內衣＊成衣",107/04/20,8
3X0Y001,南亞塑膠工業股份有限公司林口二廠,新北市泰山區南林路102號,02-29019141EXT2301,02-29020800,082/12/02,"下列項目之生產：＊塑膠(聚氯乙烯)地磚＊線性低密度聚乙烯膠膜＊聚氯乙烯膠膜＊CPP無延伸聚丙烯膠膜＊聚丙烯塑膠板(PP板)＊聚酯加工絲(原著色絲)＊聚酯棉＊聚酯粒＊固態聚合聚酯粒＊離型膜＊聚酯半延伸絲(原著色絲)＊聚酯加工絲＊聚酯全延伸絲(原絲)＊聚酯半延伸絲＊聚酯全延伸絲(原餅)＊長短纖布(染整加工)＊聚酯工業絲＊乾濕膜光阻＊TPU膠皮＊液態環氧樹脂＊固態環氧樹脂＊溴化型環氧樹脂＊酚醛樹脂＊油墨＊乾濕式不織布＊濕式PU皮＊乾式PU皮＊合成樹脂＊PU建材＊PU樹脂架橋劑＊聚酯＊色膏＊處理劑＊聚酯膜＊TPU膠粒＊TPU膠布◎南亞塑膠工業股份有限公司樹林廠(新北市樹林區味王街55號)◎南亞塑膠工業股份有限公司工三廠(桃園市龜山區文明路6號)",106/08/31,14
3X0Y013,光達化工有限公司,新北市林口區工二工業區工八路2號,02-26017726,02-26017725,087/05/22,"下列項目之生產：＊可撓性聚氯乙烯止水帶＊聚氯乙烯塑膠硬質管＊導電線用聚氯乙烯塑膠硬質管",106/01/27,7
3X0Y018,郁弘股份有限公司,新北市鶯歌區中正二路67號1樓,02-26792044#18,02-26792273,087/12/10,"下列項目之生產：＊塑膠製家俱(桌子，椅子)＊塑膠製化妝鏡＊浴室配件下列項目之設計、開發、生產：＊塑膠製馬桶蓋",106/02/13,7
3XBY005,高世紀工業股份有限公司,新北市鶯歌區八德路3號之1,02-26795111,02-26790917,084/11/10,"下列項目之生產：＊瓷質馬賽克面磚＊瓷質壁磚＊瓷質地磚",105/11/04,8
3XBY006,電光企業股份有限公司,新北市樹林區中山路2段131、129號,02-26823345,02-26828441,085/03/06,"下列項目之設計、生產、服務：＊水洗馬桶下列項目之生產、服務：＊小便器＊水箱＊洗面盆＊拖布盆＊化驗盆下列項目之安裝、服務：＊整體衛廁下列項目之組裝、服務：＊給水用角閥＊單向水龍頭(立式)＊單向水龍頭(長頸式)＊落水管(不附清除蓋)＊冷熱混合水龍頭",106/08/31,10
3XBY009,三洋窯業股份有限公司(一廠、二廠),新北市鶯歌區八德路16號,02-26706222,02-26794777,085/06/01,"下列項目之生產：＊地磚＊壁磚◎三洋窯業股份有限公司第二廠(新北市鶯歌區鶯桃路365巷39號)",106/06/05,9
3XBY013,宏洲窯業股份有限公司,"新北市鶯歌區中正三路230巷14,14-1,16,18號",02-26796212,02-26796219,085/06/05,"下列項目之生產：＊磁磚",106/08/06,8
3XBY015,隆昌窯業股份有限公司,新北市鶯歌區鶯桃路37號,02-26793366 #140,02-26703369,085/06/17,"下列項目之設計、生產、服務：＊省水馬桶(組)下列項目之生產、服務：＊衛生陶瓷器下列項目之組裝、服務：＊給水銅器◎隆昌窯業股份有限公司二廠(新北市鶯歌區鶯桃路41號)",106/06/05,10
3XBY017,福誠股份有限公司,新北市鶯歌區文化路324巷23號,02-26794396,02-26703630,086/01/23,"下列項目之設計、生產：＊地磚＊壁磚＊窯燒花崗石面磚",107/06/25,9
3XBY021,源生陶瓷股份有限公司,新北市鶯歌區大湖路323號,02-26795517#112,02-26707711,086/04/24,"下列項目之生產：＊瓷磚",107/06/15,8
3XBY023,金陶窯業股份有限公司,新北市鶯歌區大湖路123號,02-26793245,02-26701727,086/04/25,"下列項目之生產：＊壁磚＊地磚",107/06/18,9
3XBY024,協裕窯業股份有限公司,新北市鶯歌區中正三路282巷20號,02-26792787,02-26793288,087/05/21,"下列項目之生產：＊壁磚＊地磚＊高鋁質內襯磚＊高鋁質球石",105/08/15,7
3XBY025,統帥窯業股份有限公司,新北市鶯歌區二甲路87之2號,02-26706130,02-26707806,086/09/22,"下列項目之生產：＊石質地磚＊瓷質地磚＊瓷質壁磚",107/07/05,7
3XBY026,裕邦窯業股份有限公司,新北市鶯歌區八德路3之3號,02-26798966,02-26799059,086/08/11,"下列項目之生產：＊地磚＊壁磚",107/09/30,7
3XBY027,中京工業股份有限公司,新北市鶯歌區鶯桃路413巷8號,02-23964949,02-23965996,086/11/05,"下列項目之生產：＊瓷質地磚＊瓷質壁磚＊窯燒花崗石",107/09/11,6
3XBY029,華泰窯業股份有限公司,新北市鶯歌區東湖路14之1號,02-26789950,02-26799548,087/05/25,"下列項目之生產：＊陶瓷面磚",105/10/12,9
